index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4395,1275,2022/6/28,1320,237.83,238.1,237.65,238.06,0.000967077,568,泸州老窖
4396,1276,2022/6/28,1325,238.09,238.1,237,237,-0.004452659,568,泸州老窖
4397,1277,2022/6/28,1330,237.01,237.2,236.62,237.05,0.00021097,568,泸州老窖
4398,1278,2022/6/28,1335,237.12,237.86,237.06,237.4,0.001476482,568,泸州老窖
4399,1279,2022/6/28,1340,237.59,238.06,237.38,237.85,0.001895535,568,泸州老窖
4400,1280,2022/6/28,1345,237.62,237.85,237.01,237.01,-0.003531638,568,泸州老窖
4401,1281,2022/6/28,1350,237.03,237.04,236.8,236.9,-0.000464115,568,泸州老窖
4402,1282,2022/6/28,1355,236.88,236.91,236.67,236.67,-0.000970874,568,泸州老窖
4403,1283,2022/6/28,1400,236.67,236.69,236.1,236.21,-0.001943635,568,泸州老窖
4404,1284,2022/6/28,1405,236.21,236.6,235.82,236.44,0.00097371,568,泸州老窖
4405,1285,2022/6/28,1410,236.49,237.06,235.96,236.83,0.001649467,568,泸州老窖
4406,1286,2022/6/28,1415,236.75,237.23,236.52,236.6,-0.000971161,568,泸州老窖
4407,1287,2022/6/28,1420,236.6,236.9,236.12,236.9,0.001267963,568,泸州老窖
4408,1288,2022/6/28,1425,236.9,237.5,236.6,237.5,0.002532714,568,泸州老窖
4409,1289,2022/6/28,1430,237.35,237.8,236.95,237.78,0.001178947,568,泸州老窖
4410,1290,2022/6/28,1435,237.66,237.66,236.63,236.69,-0.004584069,568,泸州老窖
4411,1291,2022/6/28,1440,236.69,237.47,236.67,237.03,0.001436478,568,泸州老窖
4412,1292,2022/6/28,1445,237,237.79,237,237.34,0.001307851,568,泸州老窖
4413,1293,2022/6/28,1450,237.34,237.59,237,237.09,-0.001053341,568,泸州老窖
4414,1294,2022/6/28,1455,237.09,237.39,237,237,-0.000379603,568,泸州老窖
4415,1295,2022/6/28,1500,237.01,237.25,236.99,237,0,568,泸州老窖
4416,1296,2022/6/29,935,236.97,239.4,236.09,237.97,0.004092827,568,泸州老窖
4417,1297,2022/6/29,940,237.97,238.73,237.52,238,0.000126066,568,泸州老窖
4418,1298,2022/6/29,945,237.8,239,237.8,238.08,0.000336134,568,泸州老窖
4419,1299,2022/6/29,950,238.04,239,238.04,238.58,0.002100134,568,泸州老窖
4420,1300,2022/6/29,955,238.58,239.7,238.58,239.2,0.002598709,568,泸州老窖
4421,1301,2022/6/29,1000,239.26,239.96,238.79,238.79,-0.001714047,568,泸州老窖
4422,1302,2022/6/29,1005,238.7,239,237.6,238.61,-0.0007538,568,泸州老窖
4423,1303,2022/6/29,1010,238.6,239.31,238.13,238.83,0.000922007,568,泸州老窖
4424,1304,2022/6/29,1015,238.71,239,237.9,237.9,-0.003893983,568,泸州老窖
4425,1305,2022/6/29,1020,237.8,237.8,236.05,236.6,-0.005464481,568,泸州老窖
4426,1306,2022/6/29,1025,236.61,237.28,236.3,237,0.001690617,568,泸州老窖
4427,1307,2022/6/29,1030,236.95,237.12,236.12,236.61,-0.00164557,568,泸州老窖
4428,1308,2022/6/29,1035,236.5,237.54,236.35,237.36,0.003169773,568,泸州老窖
4429,1309,2022/6/29,1040,237.31,237.99,237.3,237.72,0.001516684,568,泸州老窖
4430,1310,2022/6/29,1045,237.73,238.6,237.56,238.19,0.001977116,568,泸州老窖
4431,1311,2022/6/29,1050,238.58,238.6,237.82,237.82,-0.001553382,568,泸州老窖
4432,1312,2022/6/29,1055,237.93,238.18,237.49,237.49,-0.001387604,568,泸州老窖
4433,1313,2022/6/29,1100,237.49,237.53,236.35,236.75,-0.003115921,568,泸州老窖
4434,1314,2022/6/29,1105,236.65,236.7,236,236,-0.003167899,568,泸州老窖
